SOL,TARGET_CCA,TARGET,TARGET_MSL,EASTING_M,NORTHING_M,ELEV_M,LATITUDE,LONGITUDE
33,Pekanatui_ZS,Pekanatui,Pekanatui_CCAM_pointing,8146876.654,-272077.7224,-4503.376979,-4.590115745,137.4427369
40,Natkusiak,Natkusiak,Natkusiak_ccam,8146936.599,-272085.3973,-4504.921137,-4.590245225,137.4437482
43,Kam,Kam,Kam_ccam_pointing,8147016.697,-272075.9594,-4507.405943,-4.590086003,137.4450995
45,Jake,Jake_Matijevic,JM_1,8147033.292,-272098.2768,-4507.932632,-4.59046251,137.4453794
46,Jake_1,Jake_Matijevic,JakeM1_updated,8147033.489,-272098.2058,-4507.886018,-4.590461313,137.4453828
48,Jake_1,Jake_Matijevic,JakeM1_updated,8147033.489,-272098.2058,-4507.886018,-4.590461313,137.4453828
49,Anton,Anton,Anton_CCAM_pointing,8147067.301,-272090.3081,-4510.197181,-4.590328073,137.4459532
50,Akaitcho,Akaitcho,Akaitcho_CCAM_Pointing,8147102.419,-272090.6487,-4512.079859,-4.59033382,137.4465456
55,Bathurst,Bathurst,Bathurst_CCAM_raster,8147187.669,-272074.2821,-4516.30787,-4.590057706,137.4479839
57,Rocknest3,Rocknest3,Rocknest_3_CCAM_pointing,8147205.431,-272071.4709,-4517.601037,-4.590010278,137.4482835
59,Rocknest7,Rocknest7,Rocknest_7_CCAM_pointing,8147206.951,-272070.0332,-4517.612486,-4.589986024,137.4483092
61,Pearson,Pearson,Pearson,8147208.727,-272066.6995,-4517.033589,-4.589929782,137.4483391
62,possible_screw_chemcam_target,possible_screw,possible_screw_chemcam_target,8147207.408,-272070.2448,-4517.752961,-4.589989594,137.4483169
68,Pearson_1,Pearson,Pearson1_ccam_pointing,8147208.677,-272066.6319,-4516.999236,-4.589928642,137.4483383
68,Schmutz2,Schmutz2,Schmutz_002_ccam_pointing,8147206.901,-272070.7732,-4517.727687,-4.589998508,137.4483083
70,Schmutz2,Schmutz2,Schmutz_002_ccam_pointing,8147206.901,-272070.7732,-4517.727687,-4.589998508,137.4483083
70,Snare,Snare,Snare_ccam_pointing,8147207.277,-272067.6922,-4517.27661,-4.58994653,137.4483147
71,Peg,Peg,Peg_Ccam_pointing,8147204.99,-272071.2715,-4517.49881,-4.590006914,137.4482761
71,Rocknest6,Rocknest6,Rocknest_6_sol59_ccam_pointing,8147206.928,-272068.3237,-4517.367128,-4.589957184,137.4483088
71,Zephyr,Zephyr,Zephyr_CCAM_pointing,8147206.411,-272068.809,-4517.463995,-4.589965371,137.4483001
72,Epworth,Epworth,Epworth_CCAM_pointing,8147206.875,-272070.7758,-4517.700836,-4.589998552,137.4483079
